file,title,source,relevance
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_01_value_chain.png,Dairy value chain and empirical hypotheses,Author design based on thesis data architecture.,Core conceptual figure for Chapters 1-4.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_02_h1_monthly_prices.png,Observed monthly farm-gate and processor-level prices,SSSU raw workbooks; author conversion to UAH/kg.,H1 data foundation.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_03_h2_official_bridge.png,Processor-level and official consumer prices,SSSU producer and consumer price workbooks.,H2 official benchmark.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_04_main_ecm_coefficients.png,Long-run pass-through estimates in main ECM blocks,Author estimates from cleaned monthly data.,Compact Chapter 5/6 result figure.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_05_prozorro_weekly.png,"ProZorro dairy procurement prices, weekly median","ProZorroM(full), author cleaning and product mapping.",H1/H2 procurement bridge.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_06_retail_pooled_daily.png,"Silpo and Novus retail prices, pooled daily median","Silpo and Novus sheets, author SKU cleaning.",H2 retail mechanism data.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_06b_retail_package_daily.png,"Silpo and Novus retail SKU package prices, pooled daily median","Silpo and Novus sheets, author title/name product mapping.",H2 retail SKU mechanism; levels are package-specific.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_07_silpo_discount_incidence.png,Silpo discount incidence by product,"Silpo sheet, author SKU cleaning.",Promotion mechanism under H2.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_08_regional_farmgate_dispersion.png,Regional dispersion of enterprise farm-gate raw milk prices,SSSU agricultural sales raw workbook.,Short regional extension for H1.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_09_dairy_trade_hs0401_0406.png,"Ukraine dairy trade, HS 0401-0406",ITC Trade Map based on SSSU and UN COMTRADE statistics.,Chapter 2 trade context.
/Users/getapple/Documents/KSE/Master Thesis/outputs/newmodel_rebuild/figures/fig_10_livestock_cost_index.png,Input-cost pressure in livestock production,SSSU agricultural production cost index workbook.,Minor Chapter 1-2 cost-pressure context.
